Node_ID,Title
IOT1,an iot-aware architecture for smart healthcare systems
IOT2,a comprehensive survey on internet of things (iot) toward 5g wireless systems
IOT3,computing resource allocation in three-tier iot fog networks: a joint optimization approach combining stackelberg game and matching
IOT4,cognitive machine-to-machine communications for internet-of-things: a protocol stack perspective
IOT5,narrowband internet of things: implementations and applications
IOT6,scalability analysis of large-scale lorawan networks in ns-3
IOT7,a new deep-q-learning-based transmission scheduling mechanism for the cognitive internet of things
IOT8,ble beacons for internet of things applications: survey, challenges, and opportunities
IOT9,operating systems for low-end devices in the internet of things: a survey
IOT10,low-power wide area network technologies for internet-of-things: a comparative review
IOT11,smart choice for the smart grid: narrowband internet of things (nb-iot)
IOT12,improving reliability and scalability of lorawans through lightweight scheduling
IOT13,a survey of potential security issues in existing wireless sensor network protocols
IOT14,narrowband internet of things: evolutions, technologies, and open issues
IOT15,from cloud down to things: an overview of machine learning in internet of things
IOT16,a social-aware group formation framework for information diffusion in narrowband internet of things
IOT17,on the lora modulation for iot: waveform properties and spectral analysis
IOT18,multi-user offloading for edge computing networks: a dependency-aware and latency-optimal approach
IOT19,low overhead scheduling of lora transmissions for improved scalability
IOT20,multiband ambient rf energy harvesting circuit design for enabling batteryless sensors and iot
IOT21,decentralized traffic aware scheduling in 6tisch networks: design and experimental evaluation
IOT22,distributed wireless power transfer system for internet of things devices
IOT23,lorawan network: radio propagation models and performance evaluation in various environments in lebanon
IOT24,fann-on-mcu: an open-source toolkit for energy-efficient neural network inference at the edge of the internet of things
IOT25,a low-power wide-area network information monitoring system by combining nb-iot and lora
IOT26,scalable cloud-sensor architecture for the internet of things
IOT27,lightweight management of resource-constrained sensor devices in internet of things
IOT28,a precise dead reckoning algorithm based on bluetooth and multiple sensors
IOT29,secure communication in noma-assisted millimeter-wave swipt uav networks
IOT30,delay and communication tradeoffs for blockchain systems with lightweight iot clients
IOT31,exploring the performance boundaries of nb-iot
IOT32,an energy-efficient region-based rpl routing protocol for low-power and lossy networks
IOT33,lorawan: evaluation of link- and system-level performance
IOT34,development of an indoor photovoltaic energy harvesting module for autonomous sensors in building air quality applications
IOT35,a thorough study of lorawan performance under different parameter settings
IOT36,rt-lora: a medium access strategy to support real-time flows over lora-based networks for industrial iot applications
IOT37,incentive mechanism design for wireless energy harvesting-based internet of things
IOT38,iot communications with m-psk modulated ambient backscatter: algorithm, analysis, and implementation
IOT39,deep learning-based multiple object visual tracking on embedded system for iot and mobile edge computing applications
IOT40,a lightweight intrusion detection for sybil attack under mobile rpl in the internet of things
IOT41,an event-triggered energy-efficient wireless structural health monitoring system for impact detection in composite airframes
IOT42,hermit: a benchmark suite for the internet of medical things
IOT43,interleaved chirp spreading lora-based modulation
IOT44,narrowband internet of things: simulation and modeling
IOT45,performance analysis of routing protocol for low power and lossy networks (rpl) in large scale networks
IOT46,non-orthogonal narrowband internet of things: a design for saving bandwidth and doubling the number of connected devices
IOT47,narrowband internet of things systems with opportunistic d2d communication
IOT48,sybil attack in rpl-based internet of things: analysis and defenses
IOT49,throughput modeling and analysis of random access in narrowband internet of things
ISLPED1,ecomicro: a miniature self-powered inertial sensor node based on bluetooth low energy
ISLPED2,robust low power clock synchronization for multi-die systems
ISLPED3,scheduling of hybrid battery-supercapacitor control instructions for longevity in systems with power gating
ISLPED4,power-aware performance adaptation of concurrent applications in heterogeneous many-core systems
ISLPED5,enabling intra-plane parallel block erase in nand flash to alleviate the impact of garbage collection
ISLPED6,homerun: hw/sw co-design for program atomicity on self-powered intermittent systems
ISLPED7,a fully onchip binarized convolutional neural network fpga mpe mentation with accurate inference
ISLPED8,energy-autonomous mcu operating in sub-vt regime with tightly-integrated energy-harvester a soc for iot smart nodes containing a mcu with minimum-energy point of 2.9pj/cycle and a harvester with output power range from sub-mu w to 4.32mw
ISLPED9,rapid: a reram processing in-memory architecture for dna sequence alignment
ISLPED10,maximizing energy efficiency in ntc by variation-aware microprocessor pipeline optimization
ISLPED11,energy-efficient dynamic comparator with active inductor for receiver of memory interfaces
ISLPED12,memgans: memory management for energy-efficient acceleration of complex computations in hardware architectures for generative adversarial networks
ISLPED13,sponge. a scalable pivot-based on/off gating engine for reducing static power in noc routers
ISLPED14,reliability and uniformity enhancement in 8t-sram based pufs operating at ntc
ISLPED15,blacklist core: machine-learning based dynamic operating-performance-point blacklisting for mitigating power-management security attacks
ISLPED16,an energy-efficient on-chip learning architecture for stdp based sparse coding
ISLPED17,a pulse-width modulated cochlear implant interface electronics with 513 mu w power consumption
ISLPED18,a thermal-aware physical space allocation strategy for 3d flash memory storage systems
ISLPED19,an energy-efficient, yet highly-accurate, approximate non- iterative divider
ISLPED20,a low-power and low-noise 20:1 serializer with two calibration loops in 55-nm cmos
ISLPED21,design optimization of 3d multi-processor system-on-chip with integrated flow cell arrays
ISLPED22,a 2.6 mw single-ended positive feedback lna for 5g applications
ISLPED23,computing in memory with fefets
