IOT1 , IEEE_Access189
IOT1 , IEEE_TCAS148
IOT1 , SENSORS20
IOT4 , IOT45
IOT4 , SENSORS93
IOT5 , IOT10
IOT5 , IOT11
IOT5 , IOT16
IOT5 , IOT25
IOT5 , IOT46
IOT5 , IOT47
IOT5 , IOT49
IOT5 , SENSORS95
IOT6 , IOT12
IOT6 , IOT17
IOT6 , IOT19
IOT6 , IOT25
IOT6 , IOT35
IOT6 , IOT43
IOT6 , Mobicom21
IOT6 , SENSORS7
IOT7 , IEEE_Access99
IOT7 , IEEE_Access171
IOT8 , IOT24
IOT9 , IEEE_Access73
IOT9 , SENSORS44
IOT9 , SENSORS96
IOT12 , IOT31
IOT12 , IOT36
IOT12 , Sensys13
IOT12 , SENSORS7
IOT12 , SENSORS40
IOT12 , SENSORS49
IOT14 , IOT31
IOT14 , SENSORS36
IOT15 , IOT24
IOT17 , SENSORS84
IOT19 , IOT36
IOT20 , IEEE_Access15
IOT21 , IEEE_Access153
IOT25 , SENSORS20
IOT32 , SENSORS44
IOT33 , IOT17
IOT33 , IOT43
IOT33 , SENSORS7
IOT40 , IOT48
IOT44 , IOT47
IOT44 , IOT49
IOT44 , SENSORS86
IOT45 , SENSORS97
IOT45 , IEEE_ICC28
IOT46 , SENSORS36
IOT47 , IOT2
ISLPED21 , ISLPED153
ISLPED27 , ISLPED128
ISLPED34 , ISLPED20
ISLPED34 , ISLPED152
ISLPED37 , ISLPED49
ISLPED37 , GLSVLSI112
ISLPED66 , ISLPED165
ISLPED66 , ISLPED199
ISLPED66 , ISLPED200
ISLPED96 , DATE458
ISLPED98 , ISLPED27
ISLPED98 , ISLPED128
ISLPED98 , DATE87
ISLPED108 , ISLPED298
ISLPED108 , HPCA36
ISLPED112 , IOT24
ISLPED112 , DAC241
ISLPED115 , ISLPED250
ISLPED115 , ASPDAC34
ISLPED119 , ISLPED135
ISLPED134 , ACM_TECS32
ISLPED156 , ISLPED157
ISLPED157 , ISLPED83
ISLPED157 , ISLPED295
ISLPED160 , ISLPED123
ISLPED162 , ISLPED99
ISLPED162 , ISLPED276
ISLPED162 , DAC241
ISLPED171 , ISLPED105
ISLPED183 , ISLPED242
ISLPED183 , DAC333
ISLPED195 , DATE14
ISLPED199 , GLSVLSI17
ISLPED201 , ISLPED89
ISLPED207 , ISLPED89
ISLPED209 , ISLPED33
ISLPED210 , ISLPED105
ISLPED224 , DATE260
ISLPED224 , GLSVLSI64
ISLPED225 , DAC98
ISLPED225 , IEEE_TVLSI58
ISLPED225 , IEEE_TCOMP11
ISLPED227 , IEEE_TCOMP52
ISLPED236 , ACM_TECS10
ISLPED263 , ISCAS103
ISLPED266 , ISLPED53
ISLPED271 , ISLPED57
ISLPED275 , ISLPED20
ISLPED283 , ISLPED213
ISLPED289 , ISLPED128
ISLPED291 , ISLPED81
ISLPED291 , ISLPED144
ISLPED291 , ISLPED159
ISLPED302 , ISLPED37
ISLPED302 , ISLPED49
ISLPED302 , ISLPED165
ISLPED302 , ISLPED199
ISLPED302 , ISLPED200
ISLPED302 , ACM_TODAES27
ISLPED305 , HPCA46
ISLPED308 , HPCA66
ISLPED308 , ACM_TACO3
ISLPED308 , ACM_TACO4
ISLPED309 , ISLPED94
ISLPED310 , ISLPED207
ISLPED312 , ISLPED15
ISLPED313 , ISLPED214
ISLPED313 , Nano_Comm13
ISLPED317 , DATE61
ISLPED317 , IEEE_TCADICS66
ISLPED317 , GLSVLSI74
ISLPED321 , ISLPED62
ISLPED321 , IEEE_Access116
ISLPED325 , ISLPED168
ISLPED330 , DAC22
ISLPED330 , DAC40
ISLPED337 , ISLPED225
ISLPED340 , ISLPED78
ISLPED344 , DAC283
ISLPED347 , IOT15
ISLPED347 , ISLPED55
ISLPED347 , ISLPED188
ISLPED347 , ISLPED195
ISLPED347 , ISLPED252
ISLPED347 , DAC15
ISLPED347 , DAC22
ISLPED347 , DAC40
ISLPED347 , DATE14
ISLPED347 , DATE111
ISLPED347 , ICCAD8
ISLPED347 , ICCAD27
ISLPED350 , ISLPED88
ISLPED350 , ISLPED197
ISLPED356 , ISLPED86
ISLPED356 , ACM_TODAES38
ISLPED356 , JOLPE23
ISLPED359 , ACM_TODAES39
ISLPED364 , GLSVLSI19
ISLPED364 , GLSVLSI25
ISLPED367 , ISLPED27
ISLPED367 , IEEE_Access15
ISLPED367 , IEEE_Access177
ISLPED367 , IEEE_TCADICS21
ISLPED367 , IEEE_TCADICS71
ISLPED367 , GLSVLSI74
ISLPED373 , HPCA66
ISLPED374 , ISLPED130
ISLPED379 , ISLPED358
ISLPED381 , GLSVLSI120
ISLPED387 , DAC311
ISLPED387 , IEEE_TCAS54
ISLPED389 , ISLPED60
ISLPED389 , DATE113
ISLPED389 , ISCAS76
ISLPED394 , ISLPED318
ISLPED395 , GLSVLSI35
ISLPED396 , ISLPED347
ISLPED396 , DATE219
ISLPED397 , ASPDAC47
ISLPED399 , HPCA50
ISLPED400 , ISLPED217
ISLPED404 , ISLPED324
ISLPED404 , ISLPED372
ISLPED407 , ISLPED102
ISLPED409 , HPCA42
ISLPED411 , ISLPED324
ISLPED414 , ACM_TECS30
ISLPED415 , ISLPED162
ISLPED416 , DAC288
ISLPED427 , ISLPED156
ISLPED429 , DATE424
ISLPED429 , IEEE_TCAS54
ISLPED430 , ISLPED277
ISLPED439 , ISLPED168
ISLPED441 , DAC283
ISLPED441 , DATE218
ISLPED441 , DATE466
ISLPED445 , DAC364
ISLPED451 , IEEE_TCADICS50
ISLPED452 , ACM_TECS16
ISLPED452 , ASPLOS6
ISLPED455 , DATE361
ISLPED459 , ISLPED412
ISLPED459 , IEEE_Journal_Solid_State440
ISLPED460 , DATE249
ISLPED463 , ACM_TECS20
ISLPED463 , IEEE_TPDS3
ISLPED465 , ISLPED311
ISLPED465 , ISLPED514
ISLPED466 , ISLPED540
ISLPED466 , ISLPED688
ISLPED466 , ACM_TODAES15
ISLPED469 , ISLPED722
ISLPED472 , ISLPED472
ISLPED475 , ISLPED475
ISLPED476 , DATE549
ISLPED479 , DAC274
ISLPED479 , DATE99
ISLPED479 , HPCA46
ISLPED483 , ISLPED687
ISLPED483 , DATE592
ISLPED483 , IEEE_TPDS3
ISLPED489 , ISLPED540
ISLPED489 , DAC274
ISLPED496 , DAC274
ISLPED496 , DATE444
ISLPED497 , ISLPED484
ISLPED497 , ISLPED497
ISLPED501 , GLSVLSI28
ISLPED502 , JOLPE13
ISLPED504 , ISLPED504
ISLPED504 , DAC181
ISLPED504 , ACM_TECS21
ISLPED505 , ISLPED593
ISLPED507 , IEEE_TCADICS71
ISLPED508 , DATE382
ISLPED508 , ISCA33
ISLPED508 , HPCA46
ISLPED513 , ISLPED174
ISLPED517 , ISLPED215
ISLPED519 , ISLPED367
ISLPED519 , DATE58
ISLPED519 , DATE346
ISLPED519 , IEEE_Access15
ISLPED519 , ACM_TECS29
ISLPED520 , GLSVLSI9
ISLPED523 , ISLPED365
ISLPED523 , DATE292
ISLPED523 , IEEE_Journal_Solid_State197
ISLPED523 , IEEE_Journal_Solid_State226
ISLPED523 , IEEE_Journal_Solid_State401
ISLPED523 , IEEE_TVLSI34
ISLPED523 , IEEE_TVLSI39
ISLPED523 , IEEE_TED3
ISLPED526 , DATE370
ISLPED532 , DAC168
ISLPED535 , ACM_TECS22
ISLPED536 , DAC89
ISLPED536 , ACM_TODAES33
ISLPED539 , IEEE_Journal_Solid_State497
ISLPED543 , ISLPED191
ISLPED544 , JOLPE24
ISLPED548 , ISLPED698
ISLPED548 , ACM_TODAES18
ISLPED549 , ISLPED589
ISLPED549 , DATE285
ISLPED552 , ISLPED598
ISLPED552 , DATE138
ISLPED552 , IEEE_TCADICS68
ISLPED552 , ICCAD12
ISLPED552 , ICCAD16
ISLPED553 , ISLPED182
ISLPED553 , ISLPED691
ISLPED553 , IEEE_TCOMP52
ISLPED553 , ISCA37
ISLPED553 , HPCA31
ISLPED553 , IEEE_TPDS3
ISLPED554 , ISLPED554
ISLPED563 , ISLPED686
ISLPED563 , IEEE_Journal_Solid_State274
ISLPED563 , ACM_TODAES64
ISLPED563 , HPCA16
ISLPED566 , ISLPED669
ISLPED566 , ISLPED711
ISLPED568 , ISLPED534
ISLPED570 , ISLPED715
ISLPED573 , ISLPED514
ISLPED573 , ACM_TACO6
ISLPED574 , DAC319
ISLPED574 , DATE242
ISLPED578 , DATE193
ISLPED586 , ISLPED475
ISLPED587 , ACM_TECS27
ISLPED593 , JOLPE38
ISLPED595 , ISLPED459
ISLPED595 , ISLPED492
ISLPED595 , ISLPED523
ISLPED595 , ISLPED599
ISLPED595 , DATE292
ISLPED595 , IEEE_Journal_Solid_State117
ISLPED595 , IEEE_Journal_Solid_State197
ISLPED595 , IEEE_Journal_Solid_State401
ISLPED595 , IEEE_Journal_Solid_State527
ISLPED595 , IEEE_TVLSI34
ISLPED595 , IEEE_TVLSI39
ISLPED595 , IEEE_TVLSI61
ISLPED595 , IEEE_TCAS2
ISLPED595 , IEEE_TED3
ISLPED598 , ISLPED609
ISLPED599 , DAC294
ISLPED601 , ISLPED686
ISLPED601 , HPCA16
ISLPED602 , ISLPED742
ISLPED603 , ISLPED556
ISLPED603 , ISLPED603
ISLPED603 , DAC257
ISLPED605 , ISLPED277
ISLPED605 , ISCA35
ISLPED605 , NOCs1
ISLPED609 , ISLPED609
ISLPED610 , DAC251
ISLPED610 , DAC274
ISLPED611 , IEEE_Journal_Solid_State226
ISLPED611 , IEEE_TCAS45
ISLPED613 , ISLPED613
ISLPED613 , IEEE_TVLSI50
ISLPED615 , ISLPED1
ISLPED615 , DAC186
ISLPED618 , ISLPED654
ISLPED623 , ISLPED139
ISLPED623 , HPCA56
ISLPED623 , GLSVLSI82
ISLPED624 , ISLPED609
ISLPED628 , DAC267
ISLPED628 , DAC383
ISLPED635 , DATE99
ISLPED636 , ISLPED365
ISLPED636 , ISLPED412
ISLPED642 , DAC80
ISLPED644 , JOLPE14
ISLPED644 , ISQED34
ISLPED645 , ISLPED1
ISLPED645 , ISLPED613
ISLPED645 , ISLPED706
ISLPED645 , IEEE_TVLSI50
ISLPED645 , IEEE_TCAS11
ISLPED646 , DAC134
ISLPED646 , IEEE_TCADICS3
ISLPED650 , ISLPED400
ISLPED650 , IEEE_TPDS3
ISLPED651 , IEEE_Journal_Solid_State38
ISLPED651 , IEEE_Journal_Solid_State302
ISLPED676 , ACM_TODAES13
ISLPED677 , DATE58
ISLPED677 , DATE346
ISLPED680 , ISLPED597
ISLPED682 , ISLPED678
ISLPED686 , ACM_TODAES64
ISLPED687 , IEEE_TCADICS109
ISLPED687 , ACM_TODAES11
ISLPED687 , IEEE_TPDS3
ISLPED688 , ISLPED168
ISLPED693 , IEEE_Journal_Solid_State197
ISLPED696 , ISLPED365
ISLPED696 , IEEE_Journal_Solid_State197
ISLPED698 , DATE480
ISLPED698 , JOLPE31
ISLPED699 , SENSORS99
ISLPED724 , DATE549
ISLPED724 , ACM_TECS28
ISLPED725 , ISLPED59
ISLPED725 , ISLPED183
ISLPED725 , ISLPED242
ISLPED725 , DAC12
ISLPED725 , DAC333
ISLPED725 , ACM_TECS31
ISLPED734 , IEEE_TCAS67
ISLPED734 , HPCA36
ISLPED735 , ACM_TODAES24
ISLPED735 , ACM_TACO6
ISLPED739 , DATE8
ISLPED739 , ACM_TODAES2
ISLPED739 , ACM_TODAES37
ISLPED741 , ISLPED374
ISLPED741 , DATE381
ISLPED741 , ACM_TACO4
ISLPED742 , ISLPED387
ISLPED742 , DATE387
ISLPED742 , ISCAS48
ISLPED742 , IEEE_TVLSI95
ISLPED742 , ASPDAC5
ISLPED747 , DAC209
ISLPED750 , ISLPED393
ISLPED753 , ISLPED166
ISLPED755 , ACM_TODAES34
ISLPED763 , ISLPED182
ISLPED763 , IEEE_TPDS3
ISLPED767 , DAC22
ISLPED767 , DAC74
ISLPED767 , DAC92
ISLPED767 , DAC133
ISLPED767 , IEEE_TCADICS3
ISLPED767 , ACM_TECS5
ISLPED768 , DATE21
ISLPED768 , IEEE_Access116
ISLPED771 , IEEE_TVLSI106
ISLPED771 , IEEE_TVLSI124
ISLPED773 , IEEE_TVLSI83
ISLPED775 , DAC130
ISLPED775 , DATE253
ISLPED777 , IEEE_WCNC3
ISLPED781 , ISLPED889
ISLPED781 , ISLPED913
ISLPED784 , ISLPED723
ISLPED784 , ISLPED926
ISLPED784 , IEEE_TVLSI45
ISLPED784 , IEEE_TVLSI72
ISLPED784 , IEEE_TED6
ISLPED786 , ISLPED818
ISLPED786 , GLSVLSI100
ISLPED789 , ISLPED995
ISLPED789 , ISLPED1012
ISLPED789 , ISLPED1053
ISLPED789 , DAC148
ISLPED789 , IEEE_Journal_Solid_State122
ISLPED789 , IEEE_TCADICS35
ISLPED789 , IEEE_TCADICS91
ISLPED789 , ACM_TODAES60
ISLPED789 , IEEE_TED4
ISLPED791 , ISLPED627
ISLPED791 , ACM_TODAES59
ISLPED792 , ISLPED912
ISLPED792 , ISLPED963
ISLPED792 , ISLPED1034
ISLPED792 , DAC116
ISLPED792 , JOLPE40
ISLPED793 , ISLPED853
ISLPED794 , IEEE_TED2
ISLPED795 , DAC196
ISLPED799 , ISLPED994
ISLPED799 , DAC296
ISLPED800 , ISLPED583
ISLPED800 , DAC142
ISLPED800 , DAC385
ISLPED800 , ACM_TODAES51
ISLPED800 , ACM_TODAES59
ISLPED803 , ISLPED1087
ISLPED803 , ISLPED1088
ISLPED804 , ISLPED975
ISLPED806 , ISLPED1006
ISLPED808 , ISLPED531
ISLPED808 , ISLPED634
ISLPED808 , ISLPED894
ISLPED808 , ISLPED940
ISLPED808 , ISLPED970
ISLPED808 , ISLPED1021
ISLPED808 , ISLPED1063
ISLPED808 , DAC29
ISLPED808 , DATE508
ISLPED808 , IEEE_Journal_Solid_State122
ISLPED808 , IEEE_Journal_Solid_State169
ISLPED808 , IEEE_TVLSI37
ISLPED808 , IEEE_TVLSI68
ISLPED808 , IEEE_TCADICS91
ISLPED808 , IEEE_TED6
ISLPED808 , MICROELECTRONICS2
ISLPED808 , MICROELECTRONICS3
ISLPED808 , MICROELECTRONICS4
ISLPED808 , MICROELECTRONICS5
ISLPED808 , MICROELECTRONICS6
ISLPED808 , MICROELECTRONICS7
ISLPED809 , ACM_TECS4
ISLPED809 , ACM_TODAES60
ISLPED810 , ISLPED1034
ISLPED810 , IEEE_TCADICS35
ISLPED810 , IEEE_TCADICS90
ISLPED814 , ISLPED1034
ISLPED814 , ISLPED1113
ISLPED814 , DAC1
ISLPED814 , ACM_TODAES30
ISLPED814 , ACM_TODAES62
ISLPED816 , DAC142
ISLPED818 , IEEE_TCADICS12
ISLPED821 , ISLPED450
ISLPED821 , ISLPED1113
ISLPED821 , DAC20
ISLPED821 , DAC61
ISLPED821 , IEEE_TCADICS32
ISLPED821 , IEEE_TCADICS51
ISLPED821 , ACM_TECS4
ISLPED822 , ISLPED675
ISLPED822 , DATE509
ISLPED822 , IEEE_TVLSI124
ISLPED822 , IEEE_TVLSI128
ISLPED823 , ISLPED930
ISLPED823 , IEEE_TVLSI106
ISLPED823 , IEEE_TVLSI119
ISLPED823 , JCSC6
ISLPED824 , ISLPED1014
ISLPED825 , ISLPED508
ISLPED825 , ACM_TODAES26
ISLPED830 , ISLPED460
ISLPED830 , ISLPED471
ISLPED830 , ISLPED1084
ISLPED830 , DAC274
ISLPED833 , ISLPED685
ISLPED835 , ISLPED477
ISLPED836 , DATE354
ISLPED836 , DATE387
ISLPED840 , GLSVLSI63
ISLPED843 , ISLPED1004
ISLPED849 , ISLPED930
ISLPED849 , IEEE_TVLSI108
ISLPED850 , ISLPED609
ISLPED850 , ISLPED889
ISLPED850 , ISLPED926
ISLPED850 , ISLPED938
ISLPED850 , IEEE_Journal_Solid_State145
ISLPED850 , IEEE_TVLSI45
ISLPED850 , IEEE_TVLSI72
ISLPED850 , IEEE_TVLSI74
ISLPED850 , ASPDAC54
ISLPED852 , ISLPED711
ISLPED853 , ISLPED961
ISLPED853 , IEEE_TCOMP58
ISLPED854 , ISLPED776
ISLPED854 , DAC149
ISLPED857 , ISLPED1072
ISLPED857 , ISLPED1076
ISLPED857 , DAC236
ISLPED857 , IEEE_TVLSI68
ISLPED857 , JOLPE39
ISLPED866 , ISLPED894
ISLPED867 , DATE198
ISLPED868 , ISLPED868
ISLPED869 , ISCAS104
ISLPED869 , IEEE_TIE67
ISLPED870 , DAC236
ISLPED870 , DAC270
ISLPED871 , IEEE_TVLSI18
ISLPED871 , IEEE_TCADICS91
ISLPED873 , IEEE_TCADICS49
ISLPED873 , IEEE_TCADICS66
ISLPED874 , IEEE_TVLSI114
ISLPED874 , IEEE_TVLSI132
ISLPED874 , ACM_TODAES6
ISLPED874 , JCSC5
ISLPED875 , ISLPED1063
ISLPED875 , ISLPED1141
ISLPED875 , DAC65
ISLPED875 , DATE387
ISLPED875 , IEEE_TVLSI84
ISLPED875 , HPCA45
ISLPED876 , ICCAD37
ISLPED878 , ISLPED656
ISLPED887 , DAC1
ISLPED889 , ISLPED998
ISLPED889 , DATE599
ISLPED889 , JOLPE34
ISLPED891 , ISLPED990
ISLPED891 , ISLPED1100
ISLPED892 , DATE454
ISLPED892 , DATE669
ISLPED897 , ACM_TODAES44
ISLPED898 , ISLPED659
ISLPED898 , ISLPED920
ISLPED900 , ISLPED779
ISLPED900 , ISLPED847
ISLPED900 , ISLPED848
ISLPED900 , IEEE_TVLSI49
ISLPED903 , ISLPED323
ISLPED904 , ISLPED588
ISLPED905 , DAC306
ISLPED905 , DATE27
ISLPED905 , ACM_TODAES46
ISLPED905 , GLSVLSI45
ISLPED910 , ISLPED1139
ISLPED913 , DAC154
ISLPED913 , DAC256
ISLPED913 , IEEE_Journal_Solid_State145
ISLPED913 , IEEE_TVLSI72
ISLPED913 , IEEE_TVLSI74
ISLPED913 , ISCA47
ISLPED914 , ISLPED861
ISLPED915 , DATE298
ISLPED920 , ISLPED118
ISLPED921 , ACM_TODAES9
ISLPED922 , ISLPED456
ISLPED922 , ISLPED737
ISLPED926 , ISLPED461
ISLPED927 , ACM_TACO7
ISLPED930 , IEEE_TVLSI119
ISLPED931 , ISLPED852
ISLPED933 , ISLPED466
ISLPED933 , ISLPED509
ISLPED933 , ISLPED514
ISLPED933 , ISLPED687
